Nom;Quantité;Type;Photo
Heineken;32;Bière;heineken_original.jpg
Leffe;7;Bière;leffe_original.jpg
Leffe 0.0;1;Bière;leffe_zero.jpg
Grimbergen;6;Bière;grimbergen_original.jpg
Grimbergen fruits rouges;6;Bière;grimbergen_rouge.jpg
Grimbergen cerise;3;Bière;grimbergen_cerise.jpg
Bud;8;Bière;bud_original.jpg
San Miguel;3;Bière;san_miguel.jpg
La Muette;4;Bière;la_muette.jpg
El Aguila;5;Bière;el_alguila.jpg
Mélusine;2;Bière;melusine.jpg
Chouffe;2;Bière;chouffe_original.jpg
Chouffe rouge;1;Bière;chouffe_rouge.jpg
Desperados Violette;2;Bière;desperados_violette.jpg
Desperados Bleue;2;Bière;desperados_bleue.jpg
Desperados Sunlight;1;Bière;desperados_sunlight.jpg
Gouyasse;1;Bière;gouyasse.jpg
Sol;1;Bière;sol.jpg
Coors;1;Bière;coors.jpg
Miller;1;Bière;miller.jpg
Vedett IPA;1;Bière;extra_vedett_ipa.jpg
Smirnoff;1;Bière;smirnoff.jpg
Beck’s;1;Bière;becks.jpg
Biere des amis;1;Bière;biere_des_amis.jpg
Monte Carlo Beer Blanche;1;Bière;monte_carlo_blanche.jpg
Monte Carlo Beer Rouge;1;Bière;monte_carlo_rouge.jpg
Peroni ;1;Bière;peroni.jpg
Trappist Westmale;1;Bière;trappist_westmale_extra.jpg
Pilsner Urquell (PLZEN);1;Bière;pilsner_urquell.jpg
Brewdog Wingman noire;1;Bière;brewdog_wingman.jpg
La débauche;1;Bière;la_debauche.jpg
Gouden Carolus noire;1;Bière;gouden_carolus_noire.jpg
Averbode ;1;Bière;averbode.jpg
La mordue;1;Cidre;la_mordue.jpg
Boylan;1;Soda;boylan.jpg
L’excuse de Mauvezin (Gers);1;Bière;lexcuse_mauvezin.jpg
